il_basin_shapes_GenerateNear2.OBJECTID,il_basin_shapes_GenerateNear2.IN_FID,il_basin_shapes_GenerateNear2.NEAR_FID,il_basin_shapes_GenerateNear2.NEAR_DIST,il_basin_shapes_GenerateNear2.NEAR_RANK,il_basin_shapes.FID,il_basin_shapes.gauge_id,IMS_stations_lla_XYTableToPoint1.OBJECTID,IMS_stations_lla_XYTableToPoint1.stationId,IMS_stations_lla_XYTableToPoint1.latitude,IMS_stations_lla_XYTableToPoint1.longitude
262,55,169,818.668358808367,1,55,il_30128,169,499,33.2277,35.635
263,55,150,4069.89082025563,2,55,il_30128,150,348,33.23,35.6
264,55,154,4069.89082025563,2,55,il_30128,154,352,33.23,35.6
265,55,55,5559.51206566089,3,55,il_30128,55,202,33.173,35.613
266,56,168,2200.45362176874,1,56,il_30131,168,498,33.2277,35.635
267,56,169,2200.45362176874,1,56,il_30131,169,499,33.2277,35.635
268,56,150,4627.71886878688,2,56,il_30131,150,348,33.23,35.6
269,56,154,4627.71886878688,2,56,il_30131,154,352,33.23,35.6
270,56,72,6593.45351054655,3,56,il_30131,72,241,33.241,35.57
271,57,72,0,1,57,il_30136,72,241,33.241,35.57
272,57,150,0,1,57,il_30136,150,348,33.23,35.6
273,57,154,0,1,57,il_30136,154,352,33.23,35.6
274,57,168,0,1,57,il_30136,168,498,33.2277,35.635
275,57,169,0,1,57,il_30136,169,499,33.2277,35.635
276,58,43,417.618543244211,1,58,il_23105,43,98,30.871,34.796
277,58,82,470.10997531458,2,58,il_23105,82,251,30.8702,34.795
278,58,163,2103.89109758536,3,58,il_23105,163,381,30.98,34.7
279,58,167,2513.45912643993,4,58,il_23105,167,480,30.9831,34.7078
280,58,89,3811.89091328573,5,58,il_23105,89,271,30.8,34.77
281,59,43,6285.94845860687,1,59,il_23103,43,98,30.871,34.796
282,59,82,6414.84216572361,2,59,il_23103,82,251,30.8702,34.795
283,60,110,6890.23539227631,1,60,il_59185,110,295,30.7787,35.2389
284,62,84,0,1,62,il_38175,84,257,32.545,35.394
285,62,162,0,1,62,il_38175,162,380,32.5462,35.3945
286,62,166,0,1,62,il_38175,166,443,32.5462,35.3945
287,62,64,1370.65615354456,2,62,il_38175,64,224,32.481,35.415
288,62,140,1370.65615354456,2,62,il_38175,140,328,32.481,35.415
289,63,148,3976.54509944682,1,63,il_4110,148,345,32.9836,35.0923
290,63,146,4339.62109964045,2,63,il_4110,146,343,32.98,35.09
291,63,70,4632.36745902321,3,63,il_4110,70,239,33.0653,35.2173
292,63,35,4714.38747172794,4,63,il_4110,35,73,33.066,35.217
293,63,87,6458.51120131335,5,63,il_4110,87,269,32.956,35.328
294,64,104,1820.11951303772,1,64,il_48125,104,289,31.5881,35.3916
295,64,60,1879.38248074285,2,64,il_48125,60,210,31.583,35.383
296,64,79,3075.98403493031,3,64,il_48125,79,248,31.7806,35.2217
297,64,11,3111.11062970653,4,64,il_48125,11,23,31.781,35.222
298,64,80,3371.19315081234,5,64,il_48125,80,249,31.7704,35.1973
299,65,101,678.788562621353,1,65,il_48130,101,286,31.6644,35.1233
300,65,38,700.41085602289,2,65,il_48130,38,77,31.665,35.124
301,65,60,2691.20593816326,3,65,il_48130,60,210,31.583,35.383
302,65,104,3333.8220519122,4,65,il_48130,104,289,31.5881,35.3916
303,65,80,8156.92066296446,5,65,il_48130,80,249,31.7704,35.1973
304,66,16,3709.52076892672,1,66,il_48185,16,29,31.251,35.186
305,66,71,3791.64490609253,2,66,il_48185,71,240,31.25,35.1855
306,67,18,1650.34233113423,1,67,il_48192,18,32,31.152,35.365
307,67,71,2270.32944929224,2,67,il_48192,71,240,31.25,35.1855
