OBJECTID,Join_Count,TARGET_FID,JOIN_FID,gauge_id,ims_1,NEAR_DIST,NEAR_X,NEAR_Y,stationId,latitude,longitude,NEAR_FID,Shape_Length,Shape_Area
143,1,19,154,il_30155,0,-1,-1,-1,352,33.23,35.6,22,0.456482933924679,0.00426268732844899
144,1,19,168,il_30155,0,-1,-1,-1,498,33.2277,35.635,22,0.456482933924679,0.00426268732844899
145,1,19,169,il_30155,0,-1,-1,-1,499,33.2277,35.635,22,0.456482933924679,0.00426268732844899
146,1,20,31,il_30165,0,-1,-1,-1,62,32.982,35.507,23,0.605250118986711,0.00871516680632943
147,1,20,87,il_30165,0,-1,-1,-1,269,32.956,35.328,42,0.605250118986711,0.00871516680632943
148,1,20,113,il_30165,0,-1,-1,-1,298,32.956,35.3287,42,0.605250118986711,0.00871516680632943
149,1,20,155,il_30165,0,-1,-1,-1,353,33.0244,35.5735,22,0.605250118986711,0.00871516680632943
150,1,20,156,il_30165,0,-1,-1,-1,354,33.0244,35.5735,22,0.605250118986711,0.00871516680632943
151,1,21,31,il_30170,0,-1,-1,-1,62,32.982,35.507,23,0.336072613759846,0.00330712881444493
152,1,21,50,il_30170,0,-1,-1,-1,123,32.916,35.533,29,0.336072613759846,0.00330712881444493
153,1,21,135,il_30170,0,-1,-1,-1,322,32.915,35.5135,29,0.336072613759846,0.00330712881444493
154,1,21,155,il_30170,0,-1,-1,-1,353,33.0244,35.5735,22,0.336072613759846,0.00330712881444493
155,1,21,156,il_30170,0,-1,-1,-1,354,33.0244,35.5735,22,0.336072613759846,0.00330712881444493
156,1,22,4,il_30175,0,-1,-1,-1,10,33.133,35.783,30,2.48621589877081,0.135912565911208
157,1,22,31,il_30175,0,-1,-1,-1,62,32.982,35.507,23,2.48621589877081,0.135912565911208
158,1,22,50,il_30175,0,-1,-1,-1,123,32.916,35.533,29,2.48621589877081,0.135912565911208
159,1,22,55,il_30175,0,-1,-1,-1,202,33.173,35.613,22,2.48621589877081,0.135912565911208
160,1,22,72,il_30175,0,-1,-1,-1,241,33.241,35.57,22,2.48621589877081,0.135912565911208
161,1,22,87,il_30175,0,-1,-1,-1,269,32.956,35.328,42,2.48621589877081,0.135912565911208
162,1,22,113,il_30175,0,-1,-1,-1,298,32.956,35.3287,42,2.48621589877081,0.135912565911208
163,1,22,118,il_30175,0,-1,-1,-1,303,33.1288,35.8045,30,2.48621589877081,0.135912565911208
164,1,22,135,il_30175,0,-1,-1,-1,322,32.915,35.5135,29,2.48621589877081,0.135912565911208
165,1,22,137,il_30175,0,-1,-1,-1,324,33.1716,35.6133,22,2.48621589877081,0.135912565911208
166,1,22,149,il_30175,0,-1,-1,-1,346,33.2404,35.5696,22,2.48621589877081,0.135912565911208
167,1,22,150,il_30175,0,-1,-1,-1,348,33.23,35.6,22,2.48621589877081,0.135912565911208
