il_basin_shape_G_ExportTable.OBJECTID,il_basin_shape_G_ExportTable.IN_FID,il_basin_shape_G_ExportTable.NEAR_FID,il_basin_shape_G_ExportTable.NEAR_DIST,il_basin_shape_G_ExportTable.NEAR_RANK,il_basin_shape_G_ExportTable.FROM_X,il_basin_shape_G_ExportTable.FROM_Y,il_basin_shape_G_ExportTable.NEAR_X,il_basin_shape_G_ExportTable.NEAR_Y,il_basin_shape_G_ExportTable.FID,il_basin_shape_G_ExportTable.gauge_id,IMS_stations_lla_pint.OBJECTID,IMS_stations_lla_pint.stationId,IMS_stations_lla_pint.latitude,IMS_stations_lla_pint.longitude
122,17,46,0,1,34.938,32.388,34.938,32.388,17,il_15120,46,107,32.388,34.938
123,17,77,0,1,34.9376,32.3877000000001,34.9376,32.3877000000001,17,il_15120,77,246,32.3877,34.9376
124,17,78,0.0343523742730002,2,35.1281093397845,32.1871433684044,35.0959,32.1752000000001,17,il_15120,78,247,32.1752,35.0959
125,17,8,0.035977711019005,3,35.1281093397845,32.1871433684044,35.099,32.1660000000001,17,il_15120,8,20,32.166,35.099
126,17,27,0.07182594108399,4,34.9208791357143,32.4129742932025,34.883,32.474,17,il_15120,27,46,32.474,34.883
127,17,129,0.0719572935071085,5,34.9208791357143,32.4129742932025,34.8815000000001,32.4732000000001,17,il_15120,129,315,32.4732,34.8815
128,17,42,0.0830761037086099,6,35.2723124613074,32.1979477763964,35.349,32.1660000000001,17,il_15120,42,90,32.166,35.349
129,17,9,0.086525281782287,7,35.1653485825342,32.1788715969081,35.212,32.1060000000001,17,il_15120,9,21,32.106,35.212
130,17,73,0.086541666057869,8,35.1653485825342,32.1788715969081,35.2114,32.1056,17,il_15120,73,242,32.1056,35.2114
131,17,92,0.087717068536866,9,35.2723124613074,32.1979477763964,35.3513,32.1598000000001,17,il_15120,92,277,32.1598,35.3513
132,18,72,0.0331738475194654,1,35.5706657946166,33.2741671656428,35.5700000000001,33.241,18,il_30145,72,241,33.241,35.57
